year,name,genre,mean.us.viewers.m
2015,GAME OF THRONES ,DRAMA,6.85
2015,VEEP,COMEDY,0.96
2014,BREAKING BAD,DRAMA,4.32
2014,MODERN FAMILY,COMEDY,9.91
2013,BREAKING BAD,DRAMA,1.87
2013,MODERN FAMILY,COMEDY,11.06
2012,HOMELAND,DRAMA,1.92
2012,MODERN FAMILY,COMEDY,12.09
2011,MAD MEN,DRAMA,2.27
2011,MODERN FAMILY,COMEDY,11.15
2010,MAD MEN,DRAMA,1.82
2010,MODERN FAMILY,COMEDY,9.37
2009,MAD MEN,DRAMA,1.52
2009,30 ROCK,COMEDY,6.94
2008,MAD MEN,DRAMA,1.21
2008,30 ROCK,COMEDY,6.09
2007,THE SOPRANOS,DRAMA,8.18
2007,30 ROCK,COMEDY,5.58
2006,24,DRAMA,12.14
2006,THE OFFICE,COMEDY,8.17
2005,LOST,DRAMA,18.91
2005,EVERYBODY LOVES RAYMOND,COMEDY,19.1
2004,THE SOPRANOS,DRAMA,10.95
2004,ARRESTED DEVELOPMENT ,COMEDY,6.24
